ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL131998,MITCH,1998,Elite,99,5,178,905,41.04,432,11374,99.6,99.5,98.1,99,99.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/Mitch_1998-10-26_1845Z.png/1280px-Mitch_1998-10-26_1845Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL152017,MARIA,2017,Elite,99,5,173,908,46.14,372,3059,99.4,99.4,98.8,97.9,97,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/Maria_2017-09-20_0238Z_%28Coastline-less%29.jpg/1280px-Maria_2017-09-20_0238Z_%28Coastline-less%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041928,Okeechobee Hurricane,1928,Elite,98,5,161,929,49.13,336,4112,98,97.1,99,96,98.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/1928_Okeechobee_hurricane_weather_map%2C_September_13%2C_1928_%283208887%29.jpg/1280px-1928_Okeechobee_hurricane_weather_map%2C_September_13%2C_1928_%283208887%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL091966,INEZ,1966,Elite,98,5,161,927,51.48,390,1269,98.4,97.8,99.2,98.4,94.8,https://upload.wikimedia.org/wikipedia/commons/d/d3/InezInGulf1966.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL091979,DAVID,1979,Elite,98,5,173,924,45.52,306,2078,99.2,98.3,98.7,93.8,96.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/David_1979-08-31_1500Z.png/1280px-David_1979-08-31_1500Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL061938,New England Hurricane,1938,Elite,97,5,161,940,41.8,300,682,98.3,93.6,98.2,93.2,92.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/1938_New_England_hurricane_weather_map_9-21-1938_%28high_quality%29_%286609126%29.jpg/1280px-1938_New_England_hurricane_weather_map_9-21-1938_%28high_quality%29_%286609126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL142016,MATTHEW,2016,Elite,97,5,167,934,52.03,276,731,99,96,99.3,90.7,93.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/Matthew_2016-10-01_0225Z.png/1280px-Matthew_2016-10-01_0225Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL052019,DORIAN,2019,Elite,97,5,184,910,51.88,366,161,99.8,99.3,99.2,97.6,82.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Dorian_2019-09-01_1641Z.jpg/1280px-Dorian_2019-09-01_1641Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041980,ALLEN,1980,Elite,96,5,190,899,52.28,222,281,100,99.7,99.3,82.4,87.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Allen_1980-08-07_1600Z.png/1280px-Allen_1980-08-07_1600Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092004,IVAN,2004,Elite,96,5,167,910,71.12,492,124,98.7,99.4,99.9,99.4,80.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Ivan_2004-09-13_1900Z_%28alternate%29.jpg/1280px-Ivan_2004-09-13_1900Z_%28alternate%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL112017,IRMA,2017,Elite,96,5,178,914,64.89,306,134,99.5,99.1,99.8,94,81.4,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Irma_2017-09-06_1230Z.jpg/1280px-Irma_2017-09-06_1230Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL091969,CAMILLE,1969,Elite,95,5,173,900,23.32,198,348,99.4,99.6,89.7,77.6,88.7,https://upload.wikimedia.org/wikipedia/commons/d/df/Hurricane_Camille_16_aug_1969_2340Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL111989,HUGO,1989,Elite,95,5,161,918,44.41,330,174,98.2,98.8,98.5,95.6,84,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/Hugo_1989-09-15_2000Z.png/1280px-Hugo_1989-09-15_2000Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL132003,ISABEL,2003,Elite,95,5,167,915,63.4,318,69,98.7,99,99.7,95,73.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Isabel_2003-09-11_1720Z.jpg/1280px-Isabel_2003-09-11_1720Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL122005,KATRINA,2005,Elite,94,5,173,902,20.01,138,1392,99,99.6,86.4,62.2,95.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Katrina_2005-08-28_1700Z.jpg/1280px-Katrina_2005-08-28_1700Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL252005,WILMA,2005,Elite,94,5,184,882,39.99,228,52,99.9,100,97.6,83.6,70.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/Wilma_2005-10-19_1345Z.png/1280px-Wilma_2005-10-19_1345Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL022024,BERYL,2024,Elite,94,5,167,932,34.46,234,73,98.8,96.3,96.3,85.1,74,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Beryl_2024-07-02_1230Z.jpg/1280px-Beryl_2024-07-02_1230Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041992,ANDREW,1992,Elite,93,5,173,922,28.45,228,65,99.3,98.4,93.8,83.8,72.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Andrew_1992-08-23_1801Z.png/1280px-Andrew_1992-08-23_1801Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL182005,RITA,2005,Elite,93,5,178,895,25.15,150,120,99.7,99.7,91,66.9,79.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6d/Rita_2005-09-21_1915Z.jpg/1280px-Rita_2005-09-21_1915Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL142018,MICHAEL,2018,Elite,93,5,161,919,17.83,198,105,98,98.6,84.4,78.7,77.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Michael_2018-10-10_1732Z.jpg/1280px-Michael_2018-10-10_1732Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041932,1932 Bahamas Hurricane,1932,Elite,92,5,161,,48.47,414,,98.1,99,98.9,98.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/54/1932_Atlantic_hurricane_season_summary_map_new.png/1280px-1932_Atlantic_hurricane_season_summary_map_new.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL141932,1932 Cuba Hurricane,1932,Elite,92,5,173,918,60.76,336,,99.1,98.7,99.7,96,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/54/1932_Atlantic_hurricane_season_summary_map_new.png/1280px-1932_Atlantic_hurricane_season_summary_map_new.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092022,IAN,2022,Elite,92,5,161,937,17.72,168,161,97.8,95.4,84,71.7,82.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Ian_2022-09-28_1256Z.jpg/1280px-Ian_2022-09-28_1256Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL052025,ERIN,2025,Elite,92,5,161,913,39.82,396,,97.9,99.2,97.5,98.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/Erin_2025-08-16_1830Z.jpg/1280px-Erin_2025-08-16_1830Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL131967,BEULAH,1967,Elite,91,5,161,923,40.14,342,,98.5,98.3,97.6,96.5,50,https://upload.wikimedia.org/wikipedia/commons/9/98/Hurricane_Beulah.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL132023,LEE,2023,Elite,91,5,167,926,39.36,312,,98.8,97.8,97.4,94.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/Lee_2023-09-08_0520Z_%28Nighttime_Visible_Imagery%29.jpg/1280px-Lee_2023-09-08_0520Z_%28Nighttime_Visible_Imagery%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL132025,MELISSA,2025,Elite,91,5,190,892,36.24,264,,99.9,99.8,96.6,88.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Melissa_2025-10-28_1200z.png/1280px-Melissa_2025-10-28_1200z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL031899,San Ciriaco Hurricane,1899,Elite,90,4,150,930,78.02,786,3433,96,96.9,100,100,98.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/1899_San_Ciriaco_hurricane_track.png/1280px-1899_San_Ciriaco_hurricane_track.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
